iter	Passed	Remaining
0	0	150
1	1	136
2	1	130
3	2	124
4	3	124
5	3	123
6	4	120
7	4	119
8	5	118
9	6	117
10	6	116
11	7	115
12	7	112
13	8	112
14	9	111
15	9	113
16	10	111
17	10	110
18	11	110
19	12	109
20	12	108
21	13	108
22	13	107
23	14	107
24	15	106
25	15	105
26	16	105
27	17	104
28	17	104
29	18	103
30	18	103
31	19	102
32	20	102
33	20	101
34	21	100
35	22	100
36	22	99
37	23	99
38	23	98
39	24	98
40	25	97
41	25	97
42	26	96
43	27	96
44	27	95
45	28	94
46	29	94
47	29	93
48	30	93
49	30	92
50	31	92
51	32	91
52	32	91
53	33	90
54	34	89
55	34	89
56	35	88
57	36	88
58	36	87
59	37	87
60	37	86
61	38	85
62	39	85
63	39	84
64	40	84
65	41	83
66	41	82
67	42	82
68	42	81
69	43	81
70	44	80
71	44	79
72	45	79
73	46	78
74	46	78
75	47	77
76	48	77
77	48	76
78	49	75
79	50	75
80	50	74
81	51	74
82	52	73
83	52	72
84	53	72
85	53	71
86	54	70
87	55	70
88	55	69
89	56	69
90	57	68
91	57	67
92	58	67
93	59	66
94	59	65
95	60	65
96	60	64
97	61	64
98	62	63
99	62	62
100	63	62
101	64	61
102	64	61
103	65	60
104	66	59
105	66	59
106	67	58
107	68	57
108	68	57
109	69	56
110	70	56
111	70	55
112	71	54
113	72	54
114	72	53
115	73	53
116	73	52
117	74	51
118	75	51
119	75	50
120	76	49
121	77	49
122	77	48
123	78	48
124	78	47
125	79	46
126	80	46
127	80	45
128	81	44
129	82	44
130	82	43
131	83	42
132	83	42
133	84	41
134	85	41
135	86	40
136	86	39
137	87	39
138	87	38
139	88	37
140	89	37
141	89	36
142	90	36
143	91	35
144	91	34
145	92	34
146	93	33
147	93	32
148	94	32
149	94	31
150	95	31
151	96	30
152	98	30
153	98	29
154	99	28
155	100	28
156	100	27
157	101	26
158	102	26
159	102	25
160	103	25
161	104	24
162	105	23
163	105	23
164	106	22
165	107	21
166	108	21
167	108	20
168	109	20
169	110	19
170	110	18
171	111	18
172	112	17
173	112	16
174	113	16
175	114	15
176	115	14
177	115	14
178	116	13
179	117	13
180	117	12
181	118	11
182	118	11
183	119	10
184	120	9
185	120	9
186	121	8
187	122	7
188	123	7
189	123	6
190	124	5
191	125	5
192	125	4
193	126	3
194	127	3
195	128	2
196	128	1
197	129	1
198	130	0
199	130	0
